,data,Freq
0,2015-06-01,27
1,2015-06-02,29
2,2015-06-03,28
3,2015-06-04,20
4,2015-06-05,22
5,2015-06-06,21
6,2015-06-07,13
7,2015-06-08,36
8,2015-06-09,37
9,2015-06-10,19
10,2015-06-11,34
11,2015-06-12,29
12,2015-06-13,17
13,2015-06-14,5
14,2015-06-15,29
15,2015-06-16,32
16,2015-06-17,34
17,2015-06-18,39
18,2015-06-19,3
19,2015-06-20,14
20,2015-06-21,16
21,2015-06-22,23
22,2015-06-23,22
23,2015-06-24,6
24,2015-06-25,13
25,2015-06-26,18
26,2015-06-27,11
27,2015-06-28,10
28,2015-06-29,17
29,2015-06-30,25
30,2015-07-01,27
31,2015-07-02,25
32,2015-07-03,33
33,2015-07-04,14
34,2015-07-05,15
35,2015-07-06,16
36,2015-07-07,24
37,2015-07-08,15
38,2015-07-09,35
39,2015-07-10,22
40,2015-07-11,16
41,2015-07-12,8
42,2015-07-13,28
43,2015-07-14,26
44,2015-07-15,32
45,2015-07-16,16
46,2015-07-17,32
47,2015-07-18,19
48,2015-07-19,8
49,2015-07-20,19
50,2015-07-21,24
51,2015-07-22,25
52,2015-07-23,28
53,2015-07-24,25
54,2015-07-25,15
55,2015-07-26,18
56,2015-07-27,35
57,2015-07-28,24
58,2015-07-29,23
59,2015-07-30,25
60,2015-07-31,25
61,2015-08-01,22
62,2015-08-02,7
63,2015-08-03,26
64,2015-08-04,20
65,2015-08-05,18
66,2015-08-06,26
67,2015-08-07,20
68,2015-08-08,22
69,2015-08-09,10
70,2015-08-10,29
71,2015-08-11,23
72,2015-08-12,26
73,2015-08-13,27
74,2015-08-14,31
75,2015-08-15,17
76,2015-08-16,11
77,2015-08-17,27
78,2015-08-18,29
79,2015-08-19,29
80,2015-08-20,26
81,2015-08-21,7
82,2015-08-22,14
83,2015-08-23,19
84,2015-08-24,29
85,2015-08-25,24
86,2015-08-26,34
87,2015-08-27,33
88,2015-08-28,21
89,2015-08-29,34
90,2015-08-30,16
