,Freq
2015-06-01,27
2015-06-02,29
2015-06-03,28
2015-06-04,20
2015-06-05,22
2015-06-06,21
2015-06-07,13
2015-06-08,36
2015-06-09,37
2015-06-10,19
2015-06-11,34
2015-06-12,29
2015-06-13,17
2015-06-14,5
2015-06-15,29
2015-06-16,32
2015-06-17,34
2015-06-18,39
2015-06-19,3
2015-06-20,14
2015-06-21,16
2015-06-22,23
2015-06-23,22
2015-06-24,6
2015-06-25,13
2015-06-26,18
2015-06-27,11
2015-06-28,10
2015-06-29,17
2015-06-30,25
2015-07-01,27
2015-07-02,25
2015-07-03,33
2015-07-04,14
2015-07-05,15
2015-07-06,16
2015-07-07,24
2015-07-08,15
2015-07-09,35
2015-07-10,22
2015-07-11,16
2015-07-12,8
2015-07-13,28
2015-07-14,26
2015-07-15,32
2015-07-16,16
2015-07-17,32
2015-07-18,19
2015-07-19,8
2015-07-20,19
2015-07-21,24
2015-07-22,25
2015-07-23,28
2015-07-24,25
2015-07-25,15
2015-07-26,18
2015-07-27,35
2015-07-28,24
2015-07-29,23
2015-07-30,25
2015-07-31,25
2015-08-01,22
2015-08-02,7
2015-08-03,26
2015-08-04,20
2015-08-05,18
2015-08-06,26
2015-08-07,20
2015-08-08,22
2015-08-09,10
2015-08-10,29
2015-08-11,23
2015-08-12,26
2015-08-13,27
2015-08-14,31
2015-08-15,17
2015-08-16,11
2015-08-17,27
2015-08-18,29
2015-08-19,29
2015-08-20,26
2015-08-21,7
2015-08-22,14
2015-08-23,19
2015-08-24,29
2015-08-25,24
2015-08-26,34
2015-08-27,33
2015-08-28,21
2015-08-29,34
2015-08-30,16
2015-08-31,8
2015-09-01,21
2015-09-02,27
2015-09-03,39
2015-09-04,30
2015-09-05,20
2015-09-06,10
2015-09-07,11
2015-09-08,28
2015-09-09,27
2015-09-10,23
2015-09-11,30
2015-09-12,18
2015-09-13,11
2015-09-14,27
2015-09-15,34
2015-09-16,23
2015-09-17,22
2015-09-18,16
2015-09-19,17
2015-09-20,14
2015-09-21,27
2015-09-22,33
2015-09-23,34
2015-09-24,27
2015-09-25,33
2015-09-26,22
2015-09-27,13
2015-09-28,35
2015-09-29,24
2015-09-30,26
2015-10-01,30
2015-10-02,34
2015-10-03,28
2015-10-04,11
2015-10-05,32
2015-10-06,29
2015-10-07,25
2015-10-08,27
2015-10-09,36
2015-10-10,23
2015-10-11,14
2015-10-12,13
2015-10-13,33
2015-10-14,28
2015-10-15,27
2015-10-16,38
2015-10-17,20
